order_id,user_id,amount,status
1001,101,15000,completed
1002,103,7200,completed
1003,101,8300,completed
1004,102,3400,cancelled
1005,104,21000,completed
1006,101,5600,completed
1007,105,9200,completed
1008,103,14800,completed
1009,106,6700,completed
1010,104,4300,cancelled
1011,107,11200,completed
1012,101,18500,completed
1013,105,5400,completed
1014,103,6200,completed
1015,106,13100,completed
1016,102,2900,completed
1017,104,8300,completed
1018,107,9500,completed
1019,101,7200,completed
1020,105,16800,completed
